timestamp,planta,fase,luminosidade,temp_ar,umid_ar,temp_solo,umid_solo,aquecedor_estado,aquecedor_motivo,ventoinha_estado,ventoinha_motivo,luminaria_estado,luminaria_motivo,bomba_estado,bomba_motivo
2025-09-07T16:01:47.880320,Alface,Floracao,18197.5,,,,93.33,False,Temperatura inválida,,,True,Dentro do fotoperíodo cruzando a meia-noite (06:00 → 04:00),False,Solo muito úmido (93.33% > 50%)
2025-09-07T16:02:18.222927,Alface,Floracao,17935.83,,,,93.2,False,Temperatura inválida,,,True,Dentro do fotoperíodo cruzando a meia-noite (06:00 → 04:00),False,Solo muito úmido (93.2% > 50%)
2025-09-07T16:02:48.518257,Alface,Floracao,17983.33,,,,93.13,False,Temperatura inválida,,,True,Dentro do fotoperíodo cruzando a meia-noite (06:00 → 04:00),False,Solo muito úmido (93.13% > 50%)
2025-09-07T16:03:18.787287,Standby,Standby,0.0,24.5,57.8,,99.85,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T16:03:49.041057,Standby,Standby,0.0,24.5,57.6,,99.94,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T16:04:56.372595,Standby,Standby,0.0,24.5,57.6,,99.94,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T16:05:26.673310,Standby,Standby,0.0,24.4,57.6,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:28:14.370427,Standby,Standby,0.0,24.2,58.3,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:28:44.660308,Standby,Standby,0.0,19.3,75.0,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:29:14.967210,Standby,Standby,0.0,19.3,75.4,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:29:45.241735,Standby,Standby,0.0,19.2,75.5,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:30:15.562559,Standby,Standby,0.0,19.2,75.5,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:30:45.838412,Standby,Standby,0.0,19.2,75.6,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:31:16.103752,Standby,Standby,0.0,19.2,75.5,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:31:46.384505,Standby,Standby,0.0,19.2,75.6,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:32:16.648102,Standby,Standby,0.0,19.2,75.6,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:32:46.916035,Standby,Standby,0.0,19.2,75.7,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:33:17.200992,Standby,Standby,0.0,19.2,75.7,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:33:47.468413,Standby,Standby,0.0,19.2,75.8,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:34:17.734390,Standby,Standby,0.0,19.2,75.9,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
2025-09-07T17:34:48.050817,Standby,Standby,0.0,19.2,75.8,,100,False,Estufa em Standby,,,False,Estufa em Standby,False,Estufa em Standby
