timestamp,planta,fase,luminosidade,temp_ar,umid_ar,temp_solo,umid_solo,aquecedor_estado,aquecedor_motivo,ventoinha_estado,ventoinha_motivo,luminaria_estado,luminaria_motivo,bomba_estado,bomba_motivo
2025-09-02T22:34:33.026933,Alface,Germinacao,0.0,21.5,84.6,20.56,64.35,False,21.5°C entre 20°C e 25°C,False,Condições normais,False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (64.7%)
2025-09-02T22:35:03.310312,Standby,Standby,0.0,21.5,84.6,20.56,64.42,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:35:33.607209,Standby,Standby,0.0,21.5,84.7,20.56,64.98,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:36:03.902612,Standby,Standby,0.0,21.5,84.6,20.56,64.56,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:36:34.178194,Standby,Standby,0.0,21.5,84.6,20.5,64.56,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:37:04.478999,Standby,Standby,0.0,21.5,84.6,20.56,65.24,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:37:35.772853,Standby,Standby,0.0,21.5,84.6,20.62,65.27,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:38:06.066542,Standby,Standby,0.0,21.5,84.6,20.56,64.51,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:38:36.390265,Standby,Standby,0.0,21.5,84.6,20.5,64.45,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby,False,Estufa em Standby
2025-09-02T22:39:06.690176,Alface,Germinacao,0.0,21.5,84.6,20.56,65.09,False,21.5°C entre 20°C e 25°C,False,Condições normais,False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (64.58%)
2025-09-02T22:39:37.024455,Alface,Germinacao,0.0,21.5,84.6,20.56,65.25,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.37%)
2025-09-02T22:40:07.457080,Alface,Germinacao,0.0,,,20.56,64.71,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.52%)
2025-09-02T22:40:37.784979,Alface,Germinacao,0.0,21.5,85.1,20.56,65.62,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.49%)
2025-09-02T22:41:08.134652,Alface,Germinacao,0.0,21.5,85.6,20.56,65.33,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.28%)
2025-09-02T22:41:38.489768,Alface,Germinacao,0.0,21.5,85.8,20.56,65.64,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.45%)
2025-09-02T22:42:08.821469,Alface,Germinacao,0.0,21.5,85.9,20.56,65.42,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (64.78%)
2025-09-02T22:42:39.209417,Alface,Germinacao,0.0,21.5,85.9,20.62,65.28,False,21.5°C ≥ desejada (13°C),True,Temperatura 21.5°C > desejada (13°C),False,Fora do fotoperíodo (06:00 → 20:54),False,Umidade adequada (65.25%)
